payment_id,customer_id,staff_id,rental_id,amount,payment_date
16120,302,2,38,4.99,2022-03-27T07:05:58.976733+01
16121,302,2,92,5.99,2022-07-10T21:15:44.989839+01
16122,303,1,265,0.99,2022-02-20T17:52:56.731619+00:00
16123,303,1,871,2.99,2022-04-23T18:40:51.221424+01
16124,303,2,1050,4.99,2022-03-11T02:43:13.327528+00:00
16125,304,1,135,10.99,2022-05-03T14:58:33.135578+01
16126,304,1,415,0.99,2022-07-07T16:31:55.630302+01
16127,304,2,937,2.99,2022-04-06T17:38:25.44628+01
16128,305,2,69,2.99,2022-05-29T17:24:31.327433+01
16129,306,2,375,3.99,2022-02-11T02:36:17.845334+00:00
16130,306,2,672,6.99,2022-02-09T21:22:58.885179+00:00
16131,307,2,413,4.99,2022-02-27T21:03:23.082646+00:00
16132,307,1,535,4.99,2022-07-23T01:46:09.376135+01
16133,307,1,614,1.99,2022-02-23T14:07:39.213376+00:00
16134,307,1,970,6.99,2022-07-12T05:10:35.832729+01
16135,308,2,589,3.99,2022-05-11T22:29:38.878145+01
16136,309,2,218,6.99,2022-04-28T09:56:20.407695+01
16137,309,2,723,0.99,2022-07-07T00:20:33.675343+01
16138,310,2,104,0.99,2022-06-10T10:12:24.278218+01
16139,311,2,274,5.99,2022-04-28T09:36:38.13836+01
16140,311,2,544,6.99,2022-03-05T02:53:20.020914+00:00
16141,311,1,952,2.99,2022-04-29T12:07:54.736744+01
16142,311,2,990,3.99,2022-06-21T18:04:00.273053+01
16143,311,2,1128,6.99,2022-03-23T00:50:03.654339+00:00
16144,312,2,229,4.99,2022-07-06T11:02:59.220907+01
16145,312,1,530,0.99,2022-06-07T20:11:28.999449+01
16146,312,2,1049,4.99,2022-06-18T20:51:24.241656+01
16147,312,2,1079,6.99,2022-05-22T02:00:19.263516+01
16148,313,2,669,4.99,2022-04-25T19:41:26.136466+01
16149,313,2,712,2.99,2022-06-30T08:21:07.717505+01
16150,313,2,781,0.99,2022-05-04T02:07:45.109719+01
16151,313,2,843,0.99,2022-05-18T15:33:46.571296+01
16152,314,1,80,5.99,2022-05-13T04:02:58.918221+01
16153,314,1,440,4.99,2022-05-21T09:48:19.060217+01
16154,315,1,537,8.99,2022-02-21T06:42:18.733228+00:00
16155,315,1,551,4.99,2022-04-21T12:31:54.034245+01
16156,316,1,16,4.99,2022-04-30T09:18:47.668622+01
16157,316,1,644,8.99,2022-06-18T05:23:31.52441+01
16158,316,1,1065,1.99,2022-03-07T21:57:53.669873+00:00
16159,317,1,107,6.99,2022-05-14T09:05:26.104632+01
16160,318,1,224,9.99,2022-07-21T07:35:41.347175+01
16161,319,1,15,9.99,2022-05-12T01:44:28.347268+01
16162,319,1,149,3.99,2022-04-16T08:39:53.437078+01
16163,319,1,439,2.99,2022-05-02T13:41:56.413228+01
16164,321,2,200,4.99,2022-02-14T17:26:09.023532+00:00
16165,321,1,620,5.99,2022-03-12T16:40:11.404266+00:00
16166,321,2,818,4.99,2022-03-22T00:38:13.379468+00:00
16167,322,2,166,0.99,2022-02-20T06:34:26.225910+00:00
16168,322,1,269,4.99,2022-05-31T16:29:32.757941+01
16169,323,1,58,4.99,2022-04-13T19:27:27.261586+01
16170,323,2,729,2.99,2022-03-10T14:31:21.888741+00:00
16171,323,1,878,5.99,2022-04-19T06:12:12.102748+01
16172,324,2,563,3.99,2022-06-02T11:52:17.163439+01
16173,325,1,131,5.99,2022-02-08T10:29:05.367166+00:00
16174,326,1,875,6.99,2022-03-29T10:38:35.996349+01
16175,326,2,981,4.99,2022-04-03T02:40:30.519157+01
16176,326,2,1149,3.99,2022-03-23T10:31:59.987966+00:00
16177,327,1,653,6.99,2022-07-18T05:15:27.637307+01
16178,328,2,862,2.99,2022-05-03T13:08:12.559622+01
16179,330,1,704,3.99,2022-07-13T19:59:39.13037+01
16180,330,2,967,7.99,2022-02-09T14:41:36.737746+00:00
16181,331,2,87,0.99,2022-05-13T14:03:20.004638+01
16182,331,1,996,2.99,2022-06-16T06:01:36.90073+01
16183,332,2,600,3.99,2022-04-23T12:32:32.576142+01
16184,332,1,1000,6.99,2022-02-01T01:45:54.586456+00:00
16185,333,1,4,4.99,2022-04-12T08:42:01.166425+01
16186,334,1,13,6.99,2022-06-30T02:08:55.600669+01
16187,334,1,431,8.99,2022-07-06T18:09:24.685288+01
16188,337,1,374,6.99,2022-05-12T20:01:36.968613+01
16189,337,1,572,4.99,2022-02-23T05:11:54.387724+00:00
16190,337,1,839,8.99,2022-05-07T13:03:00.213083+01
16191,338,1,675,0.99,2022-06-05T06:24:39.352555+01
16192,339,1,876,5.99,2022-04-22T20:26:26.980741+01
16193,343,2,102,3.99,2022-07-03T22:01:18.599942+01
16194,343,1,455,3.99,2022-07-16T00:36:11.210569+01
16195,343,1,455,3.99,2022-07-16T00:36:11.210569+01
16196,344,2,813,5.99,2022-02-02T02:20:47.900950+00:00
16197,345,1,206,0.99,2022-02-14T05:25:00.270052+00:00
16198,345,1,363,0.99,2022-04-14T01:06:20.025074+01
16199,346,1,65,4.99,2022-04-21T21:04:47.370318+01
16200,346,1,810,4.99,2022-03-24T18:43:41.927206+00:00
16201,348,2,153,0.99,2022-03-18T23:32:23.927117+00:00
16202,348,2,153,0.99,2022-03-18T23:32:23.927117+00:00
16203,349,1,890,4.99,2022-05-06T23:53:38.937614+01
16204,350,1,24,4.99,2022-03-06T15:22:19.017290+00:00
16205,350,1,802,4.99,2022-04-13T07:10:24.399149+01
16206,351,1,1137,1.99,2022-07-06T09:34:24.044828+01
16207,352,1,784,2.99,2022-06-07T11:31:57.354435+01
16208,353,2,1103,6.99,2022-04-25T18:09:08.130077+01
16209,354,1,140,0.99,2022-06-28T03:50:36.562604+01
16210,354,2,158,1.99,2022-06-14T04:37:58.864546+01
16211,354,2,402,0.99,2022-03-20T21:54:29.954150+00:00
16212,355,1,1110,3.99,2022-07-17T14:25:01.108668+01
16213,356,2,1088,4.99,2022-02-15T14:01:58.817322+00:00
16214,357,1,144,2.99,2022-05-08T17:08:34.473398+01
16215,357,1,824,4.99,2022-05-02T03:08:21.09586+01
16216,357,1,824,4.99,2022-05-02T03:08:21.09586+01
16217,358,2,858,4.99,2022-06-12T16:48:35.899397+01
16218,359,1,284,8.99,2022-04-12T15:03:12.580384+01
16219,359,2,392,2.99,2022-03-06T15:50:36.446580+00:00
16220,359,1,528,3.99,2022-05-22T13:21:52.683222+01
16221,360,1,633,0.99,2022-06-16T01:10:27.611602+01
16222,360,2,777,4.99,2022-04-17T00:43:01.944984+01
16223,361,1,368,5.99,2022-05-25T04:12:05.03503+01
16224,361,2,1120,4.99,2022-06-03T20:05:28.580978+01
16225,362,2,1035,4.99,2022-02-02T11:08:26.413593+00:00
16226,363,1,733,3.99,2022-04-25T20:32:24.73075+01
16227,364,1,462,5.99,2022-06-24T10:52:40.090107+01
16228,365,2,120,5.99,2022-04-23T08:16:05.084908+01
16229,365,1,231,4.99,2022-06-11T06:30:03.650325+01
16230,366,2,911,6.99,2022-03-17T19:23:21.879026+00:00
16231,367,1,939,0.99,2022-03-14T16:05:08.263798+00:00
16232,367,1,1089,2.99,2022-04-29T05:01:04.358751+01
16233,368,1,64,5.99,2022-05-23T09:09:07.835173+01
16234,368,1,125,5.99,2022-05-05T00:07:26.176453+01
16235,368,1,836,2.99,2022-03-17T21:54:12.109618+00:00
16236,368,1,949,2.99,2022-06-09T16:57:05.885284+01
16237,368,1,949,2.99,2022-06-09T16:57:05.885284+01
16238,369,1,294,4.99,2022-05-29T23:08:28.607941+01
16239,369,2,854,0.99,2022-07-06T12:49:28.34667+01
16240,369,2,913,7.99,2022-05-29T20:30:33.216595+01
16241,371,1,26,3.99,2022-04-09T01:01:23.727037+01
16242,371,2,286,6.99,2022-06-15T00:18:57.677649+01
16243,371,2,381,4.99,2022-04-10T12:45:31.439201+01
16244,371,1,384,5.99,2022-02-28T05:52:58.002006+00:00
16245,371,1,825,0.99,2022-04-01T20:10:22.170941+01
16246,371,1,829,2.99,2022-02-27T01:51:01.159920+00:00
16247,371,1,829,2.99,2022-02-27T01:51:01.159920+00:00
16248,372,1,638,2.99,2022-06-18T19:56:37.304781+01
16249,373,2,257,4.99,2022-01-29T05:33:33.142744+00:00
16250,374,1,521,0.99,2022-07-09T21:48:19.975521+01
16251,374,2,910,2.99,2022-02-11T20:39:27.589401+00:00
16252,374,2,919,0.99,2022-03-08T08:01:02.388262+00:00
16253,375,2,307,8.99,2022-03-11T16:04:40.099724+00:00
16254,375,1,412,4.99,2022-04-21T07:54:45.591772+01
16255,375,2,749,4.99,2022-04-20T21:34:24.893572+01
16256,375,1,873,2.99,2022-05-20T13:38:16.142858+01
16257,376,1,554,0.99,2022-02-04T22:48:23.861476+00:00
16258,378,1,347,0.99,2022-02-19T06:24:02.783650+00:00
16259,379,2,209,4.99,2022-01-30T23:02:06.818362+00:00
16260,379,1,863,4.99,2022-07-11T00:16:55.027998+01
16261,380,1,847,3.99,2022-02-21T22:19:33.491752+00:00
16262,381,2,169,0.99,2022-06-19T16:17:22.28249+01
16263,381,2,406,2.99,2022-03-15T15:16:30.212956+00:00
16264,381,1,835,2.99,2022-03-30T10:22:38.958402+01
16265,382,2,356,2.99,2022-05-16T03:31:42.02688+01
16266,382,1,522,2.99,2022-05-14T22:52:42.545021+01
16267,383,2,63,0.99,2022-02-18T12:35:34.656209+00:00
16268,383,1,766,8.99,2022-04-01T14:51:04.362444+01
16269,384,2,103,4.99,2022-05-11T23:18:32.178976+01
16270,384,2,279,2.99,2022-04-08T12:04:02.613787+01
16271,384,1,898,0.99,2022-05-12T21:44:46.982457+01
16272,384,2,1013,2.99,2022-04-28T10:00:33.322527+01
16273,385,1,917,2.99,2022-02-28T05:37:51.844587+00:00
16274,385,2,1038,4.99,2022-06-30T17:57:11.076254+01
16275,386,1,583,7.99,2022-02-14T20:32:24.785096+00:00
16276,387,2,302,4.99,2022-03-27T00:24:03.164039+00:00
16277,387,1,697,7.99,2022-02-10T23:33:12.863001+00:00
16278,387,1,841,4.99,2022-06-15T03:41:07.979506+01
16279,387,1,1127,3.99,2022-05-17T23:39:07.778719+01
16280,388,2,21,4.99,2022-02-17T00:25:20.231090+00:00
16281,388,2,411,4.99,2022-04-04T09:07:40.321303+01
16282,389,1,998,4.99,2022-07-21T00:24:21.986264+01
16283,390,1,254,4.99,2022-07-02T03:54:03.730481+01
16284,390,2,912,4.99,2022-06-29T17:04:29.264495+01
16285,391,2,73,4.99,2022-05-25T06:26:16.373462+01
16286,391,1,210,2.99,2022-06-24T12:49:45.081426+01
16287,391,1,317,5.99,2022-02-01T04:52:01.826482+00:00
16288,391,2,870,2.99,2022-05-27T17:26:52.421152+01
16289,391,1,891,7.99,2022-03-04T21:06:45.856528+00:00
16290,393,1,599,4.99,2022-03-10T12:31:39.022182+00:00
16291,393,2,886,0.99,2022-02-26T12:17:02.772332+00:00
16292,394,1,213,3.99,2022-07-17T10:59:22.434368+01
16293,394,1,977,2.99,2022-04-19T22:06:46.026301+01
16294,396,2,641,5.99,2022-04-26T09:36:44.984602+01
16295,397,2,1002,0.99,2022-01-28T13:25:14.841952+00:00
16296,398,1,486,4.99,2022-05-18T19:25:51.852841+01
16297,399,2,10,5.99,2022-03-20T22:31:35.826037+00:00
16298,399,2,694,6.99,2022-07-10T14:24:40.260995+01
16299,399,2,883,4.99,2022-02-11T05:41:52.938070+00:00
16300,400,1,95,3.99,2022-03-15T10:43:10.102119+00:00
16301,400,2,171,6.99,2022-05-25T15:08:58.822716+01
16302,400,2,516,1.99,2022-03-25T09:04:59.421013+00:00
16303,400,2,894,5.99,2022-06-05T00:40:09.214994+01
16304,401,2,167,4.99,2022-06-06T06:29:13.927452+01
16305,401,2,446,4.99,2022-06-11T06:12:07.124432+01
16306,401,2,811,1.99,2022-04-12T21:19:14.330982+01
16307,402,2,801,1.99,2022-06-23T16:50:05.892201+01
16308,403,1,442,2.99,2022-03-31T14:21:12.491289+01
16309,403,1,517,0.99,2022-05-14T20:13:11.307607+01
16310,404,2,1081,5.99,2022-05-08T07:16:06.345903+01
16311,405,1,121,2.99,2022-04-13T02:20:51.759149+01
16312,405,2,770,4.99,2022-02-04T18:44:50.153190+00:00
16313,406,1,855,0.99,2022-04-07T12:47:14.962156+01
16314,407,1,619,7.99,2022-04-11T19:17:39.612668+01
16315,408,2,3,3.99,2022-03-23T15:44:32.990689+00:00
16316,408,2,59,5.99,2022-07-16T04:23:48.145008+01
16317,408,1,526,2.99,2022-04-10T10:48:14.484483+01
16318,409,1,310,6.99,2022-01-25T01:57:07.766857+00:00
16319,411,2,686,4.99,2022-05-10T09:21:16.961605+01
16320,411,2,972,1.99,2022-01-31T11:12:57.610606+00:00
16321,412,2,191,0.99,2022-07-21T21:40:29.040522+01
16322,412,1,333,4.99,2022-03-30T14:23:44.634606+01
16323,412,1,717,0.99,2022-06-21T04:57:26.721275+01
16324,412,2,1043,3.99,2022-02-03T23:00:03.697719+00:00
16325,413,1,40,4.99,2022-04-26T21:31:47.261954+01
16326,413,1,999,4.99,2022-03-05T18:07:26.381228+00:00
16327,414,1,85,4.99,2022-06-12T13:28:36.868379+01
16328,414,1,261,3.99,2022-06-21T22:13:12.710408+01
16329,415,2,665,4.99,2022-05-13T01:58:32.5564+01
16330,416,2,253,0.99,2022-03-16T19:31:47.644959+00:00
16331,416,2,724,3.99,2022-01-24T04:59:03.204053+00:00
16332,416,2,1031,2.99,2022-06-18T17:45:07.144592+01
16333,417,1,267,4.99,2022-03-25T00:14:15.485007+00:00
16334,417,2,630,8.99,2022-04-10T10:34:23.573205+01
16335,417,2,833,4.99,2022-06-02T06:46:34.443085+01
16336,419,1,62,2.99,2022-01-29T09:48:28.376954+00:00
16337,420,2,744,4.99,2022-02-16T04:55:58.316361+00:00
16338,421,1,507,0.99,2022-04-06T00:32:45.605467+01
16339,421,1,931,0.99,2022-07-26T07:28:01.379742+01
16340,422,1,398,0.99,2022-07-17T21:30:51.749754+01
16341,424,2,403,0.99,2022-05-04T19:17:23.682431+01
16342,425,2,1098,5.99,2022-07-03T14:24:49.837413+01
16343,426,2,604,0.99,2022-02-23T09:01:45.440786+00:00
16344,427,2,82,6.99,2022-07-15T06:52:27.931336+01
16345,428,2,634,4.99,2022-03-03T09:52:57.568180+00:00
16346,429,2,150,5.99,2022-06-30T22:25:27.619991+01
16347,429,2,290,2.99,2022-02-11T12:31:33.966222+00:00
16348,429,2,601,7.99,2022-07-25T05:38:38.125062+01
16349,429,2,799,4.99,2022-07-02T00:57:09.239843+01
16350,429,2,844,4.99,2022-02-24T19:25:19.711550+00:00
16351,430,2,30,2.99,2022-03-28T07:26:04.54158+01
16352,430,1,364,4.99,2022-02-02T23:14:15.588620+00:00
16353,431,2,1126,2.99,2022-04-24T22:02:20.985736+01
16354,432,2,326,7.99,2022-01-28T01:42:25.075477+00:00
16355,432,1,550,5.99,2022-03-09T20:30:27.217030+00:00
16356,432,1,897,8.99,2022-02-25T20:12:34.901786+00:00
16357,433,2,146,8.99,2022-03-27T20:54:13.785939+01
16358,433,1,691,10.99,2022-02-22T12:56:36.816232+00:00
16359,434,2,508,5.99,2022-07-23T12:47:04.691644+01
16360,435,1,757,7.99,2022-07-15T07:21:42.624409+01
16361,435,1,806,4.99,2022-07-10T01:54:57.571469+01
16362,436,1,45,7.99,2022-05-22T00:58:20.5388+01
16363,436,1,256,3.99,2022-03-07T22:49:50.968627+00:00
16364,436,1,848,5.99,2022-03-12T18:44:23.808196+00:00
16365,437,1,192,2.99,2022-01-24T17:03:14.157666+00:00
16366,437,2,656,4.99,2022-06-04T17:47:00.615786+01
16367,437,1,666,5.99,2022-01-29T22:26:14.302644+00:00
16368,438,2,23,4.99,2022-06-05T02:56:19.906541+01
16369,438,2,1036,0.99,2022-07-02T10:09:46.068677+01
16370,438,1,1138,6.99,2022-03-20T05:04:39.718555+00:00
16371,439,1,126,2.99,2022-04-26T20:42:27.416374+01
16372,439,2,367,0.99,2022-03-23T08:24:12.856654+00:00
16373,439,1,786,9.99,2022-05-08T01:53:45.388186+01
16374,440,2,957,4.99,2022-03-01T05:56:05.029411+00:00
16375,441,1,823,4.99,2022-05-08T09:42:55.163492+01
16376,442,2,466,0.99,2022-07-13T02:04:31.62833+01
16377,442,2,558,6.99,2022-04-19T17:57:24.80407+01
16378,442,1,632,5.99,2022-07-05T20:05:45.56652+01
16379,443,2,1068,4.99,2022-02-10T20:15:16.512303+00:00
16380,444,1,201,8.99,2022-02-02T12:28:11.734463+00:00
16381,444,1,557,0.99,2022-06-28T02:33:00.739587+01
16382,445,1,481,2.99,2022-04-21T03:12:50.037713+01
16383,445,1,960,2.99,2022-03-15T15:48:44.621596+00:00
16384,446,2,14,0.99,2022-06-28T11:24:21.720418+01
16385,446,1,236,0.99,2022-04-23T04:51:39.709105+01
16386,446,1,355,4.99,2022-02-25T12:21:40.859112+00:00
16387,447,1,461,2.99,2022-06-30T01:55:27.830833+01
16388,447,2,732,0.99,2022-05-21T14:21:06.383332+01
16389,448,1,299,4.99,2022-03-14T23:30:48.880450+00:00
16390,448,2,1123,2.99,2022-07-26T20:52:50.945254+01
16391,449,2,263,4.99,2022-03-07T06:53:28.793841+00:00
16392,449,2,325,5.99,2022-06-01T08:03:13.55891+01
16393,449,1,849,7.99,2022-06-10T18:14:06.596771+01
16394,450,2,548,3.99,2022-04-10T23:48:05.364793+01
16395,451,2,77,0.99,2022-03-19T07:14:23.201812+00:00
16396,451,2,328,2.99,2022-02-22T02:31:45.142927+00:00
16397,451,2,1113,2.99,2022-02-24T17:52:45.886487+00:00
16398,452,1,354,2.99,2022-05-16T12:05:45.975404+01
16399,452,2,714,2.99,2022-03-15T11:49:19.270698+00:00
16400,452,1,726,1.99,2022-04-02T15:59:45.228075+01
16401,454,1,735,7.99,2022-07-26T00:52:22.598613+01
16402,455,2,115,0.99,2022-06-22T10:47:05.969016+01
16403,455,2,343,0.99,2022-02-07T19:31:51.363246+00:00
16404,456,2,19,4.99,2022-03-02T05:10:36.724663+00:00
16405,457,2,1024,7.99,2022-01-25T04:27:19.820601+00:00
16406,459,2,2,2.99,2022-02-21T17:38:11.389365+00:00
16407,460,1,223,4.99,2022-06-20T19:55:33.979945+01
16408,460,2,298,0.99,2022-05-26T04:03:16.736575+01
16409,460,1,880,0.99,2022-06-04T12:31:22.994883+01
16410,460,2,1064,4.99,2022-05-13T11:02:22.893911+01
16411,461,1,684,6.99,2022-04-27T02:44:55.339362+01
16412,462,2,156,2.99,2022-03-21T23:22:20.672427+00:00
16413,462,2,590,3.99,2022-07-05T19:46:28.226844+01
16414,463,1,560,1.99,2022-02-01T22:37:54.336913+00:00
16415,464,1,305,3.99,2022-06-21T20:10:13.579647+01
16416,464,2,373,1.99,2022-01-26T23:25:52.226731+00:00
16417,465,2,640,0.99,2022-06-07T22:21:03.498884+01
16418,466,2,1104,2.99,2022-04-28T03:48:32.415538+01
16419,467,2,225,4.99,2022-02-21T09:27:15.202636+00:00
16420,468,2,101,6.99,2022-01-28T20:21:03.857629+00:00
16421,468,1,186,4.99,2022-06-09T19:27:53.950868+01
16422,468,2,296,6.99,2022-04-11T16:12:47.161975+01
16423,468,2,459,0.99,2022-04-25T09:28:57.95314+01
16424,468,1,673,0.99,2022-04-07T16:25:39.357037+01
16425,469,1,168,0.99,2022-03-21T18:11:54.384650+00:00
16426,469,2,506,7.99,2022-07-07T17:18:16.247182+01
16427,469,2,529,4.99,2022-06-05T23:46:13.331625+01
16428,469,2,936,1.99,2022-07-16T10:23:21.946558+01
16429,469,1,1119,2.99,2022-04-06T04:49:52.277584+01
16430,470,2,60,2.99,2022-04-09T05:52:12.901836+01
16431,471,1,616,2.99,2022-02-15T07:15:03.081894+00:00
16432,472,2,142,0.99,2022-03-30T16:45:39.678696+01
16433,472,2,249,2.99,2022-05-06T11:42:21.675238+01
16434,472,2,800,0.99,2022-07-07T03:41:10.022755+01
16435,472,2,994,4.99,2022-05-10T09:25:16.229562+01
16436,473,1,348,4.99,2022-04-13T05:33:02.668653+01
16437,473,2,942,2.99,2022-04-12T11:46:32.454888+01
16438,473,2,973,3.99,2022-05-04T05:00:10.23436+01
16439,474,1,816,7.99,2022-03-17T12:36:36.775269+00:00
16440,475,2,417,4.99,2022-04-06T15:39:47.967625+01
16441,475,1,702,0.99,2022-05-23T02:58:41.937065+01
16442,476,1,489,4.99,2022-05-21T22:15:18.080019+01
16443,476,1,771,2.99,2022-07-25T08:58:56.421741+01
16444,477,1,882,2.99,2022-02-08T04:42:18.104934+00:00
16445,479,2,132,3.99,2022-04-18T08:23:29.250426+01
16446,479,1,709,7.99,2022-02-13T03:37:17.143230+00:00
16447,480,1,518,0.99,2022-05-01T10:49:32.439282+01
16448,480,1,720,6.99,2022-06-16T16:46:55.113966+01
16449,480,2,822,9.99,2022-07-19T19:29:31.053811+01
16450,481,2,1109,5.99,2022-04-07T22:16:49.008957+01
16451,482,1,259,8.99,2022-05-04T09:07:09.902917+01
16452,482,2,680,2.99,2022-04-08T20:56:56.106453+01
16453,482,2,879,0.99,2022-06-07T21:38:55.266486+01
16454,483,2,742,6.99,2022-05-27T05:24:16.086882+01
16455,484,2,35,4.99,2022-06-17T08:55:43.269655+01
16456,484,2,668,2.99,2022-03-04T21:44:58.311783+00:00
16457,484,2,727,2.99,2022-06-08T19:22:23.681544+01
16458,485,1,1009,2.99,2022-07-09T14:53:46.196262+01
16459,486,1,909,8.99,2022-06-29T15:53:59.059025+01
16460,486,2,946,2.99,2022-02-17T00:47:36.343249+00:00
16461,486,2,1129,0.99,2022-02-22T16:36:22.316244+00:00
16462,489,1,219,4.99,2022-06-13T14:20:59.472374+01
16463,489,2,513,2.99,2022-01-28T04:47:04.957501+00:00
16464,490,2,585,6.99,2022-04-09T06:10:23.932248+01
16465,490,2,676,4.99,2022-02-19T14:00:18.914871+00:00
16466,491,1,484,2.99,2022-03-23T17:48:19.862508+00:00
16467,491,2,1097,0.99,2022-04-12T19:13:47.940659+01
16468,492,1,84,2.99,2022-05-19T09:15:44.374927+01
16469,493,1,543,7.99,2022-03-06T23:29:20.242726+00:00
16470,494,1,608,4.99,2022-02-19T20:04:22.751108+00:00
16471,495,2,623,4.99,2022-04-09T13:56:03.199166+01
16472,495,2,741,4.99,2022-02-26T04:42:42.604235+00:00
16473,496,2,322,4.99,2022-06-11T02:09:49.021998+01
16474,496,2,966,0.99,2022-04-19T10:06:11.854225+01
16475,497,1,1100,7.99,2022-04-15T08:05:36.218872+01
16476,498,2,49,2.99,2022-07-07T12:20:57.524605+01
16477,498,1,429,8.99,2022-06-21T16:47:24.139929+01
16478,498,2,718,2.99,2022-05-10T14:23:53.468894+01
16479,499,2,89,2.99,2022-02-17T17:52:33.004863+00:00
16480,500,1,112,8.99,2022-07-15T02:51:02.666885+01
16481,500,1,389,8.99,2022-04-10T17:31:31.934763+01
16482,500,1,610,0.99,2022-07-01T12:23:41.718698+01
16483,501,1,493,0.99,2022-07-11T00:32:20.107006+01
16484,501,1,605,1.99,2022-04-02T18:07:09.228573+01
16485,502,2,258,2.99,2022-02-08T16:16:46.013726+00:00
16486,502,1,861,0.99,2022-04-21T07:15:58.118546+01
16487,502,1,893,2.99,2022-04-03T01:56:30.00383+01
16488,502,2,965,0.99,2022-03-09T13:58:07.299304+00:00
